NAME,DESCRIPTION,CHECK DATE,AMOUNT
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/14/2019,$237.58
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/14/2019,$107.15
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/16/2019,$104.11
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/16/2019,$70.38
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/21/2019,$61.13
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/30/2019,$84.34
ACME-SOUTHWEST LOCK SUPPLY INC,Maintenance Supplies,05/30/2019,$82.55
ADESTRA INC,Other Contracted Svces/Labor,05/07/2019,"$1,932.56"
ADRIAN AGUIRRE,Other Contracted Svces/Labor,05/14/2019,$475.00
ADSWERVE INC,Advertising,05/07/2019,$62.15
ADSWERVE INC,Advertising,05/07/2019,$4.09
ADVANCE AUTO PARTS,Classroom Supplies,05/09/2019,$58.90
ADVANCE AUTO PARTS,Classroom Supplies,05/14/2019,$29.15
ADVANCE AUTO PARTS,Classroom Supplies,05/14/2019,$178.49
ADVANCED TECHNOLOGIES CONSULTA,Minor Furniture,05/21/2019,"$96,632.00"
AEJMC,Seminar/Registration Fees,05/14/2019,$335.00
AGAVE PLUMBING INC,Repairs-Buildings,05/16/2019,$454.65
AGAVE PLUMBING INC,Repairs-Physical Plant Equipment,05/30/2019,"$16,429.62"
AGILE SPORTS TECHNOLOGIES INC,Other Contracted Svces/Labor,05/30/2019,"$1,000.00"
AHEAD,Seminar/Registration Fees,05/07/2019,$695.00
AHEAD,Seminar/Registration Fees,05/14/2019,"$1,090.00"
AIA,Memberships,05/14/2019,$429.00
AIA,Seminar/Registration Fees,05/21/2019,$875.00
AIR PERFORMANCE SERVICE INC,Other Contracted Svces/Labor,05/16/2019,"$1,965.00"
AIR PERFORMANCE SERVICE INC,Repairs-Buildings,05/30/2019,$485.00
AIRGAS USA LLC,Classroom Supplies,05/02/2019,$46.46
AIRGAS USA LLC,Classroom Supplies,05/02/2019,$87.01
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$169.71
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$183.79
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$169.71
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$142.25
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$183.79
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$38.50
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$70.42
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$287.93
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$967.76
AIRGAS USA LLC,Fertilizers & Chemicals,05/07/2019,$849.54
AIRGAS USA LLC,Maintenance Supplies,05/14/2019,$7.70
AIRGAS USA LLC,Maintenance Supplies,05/14/2019,$4.49
AIRGAS USA LLC,Maintenance Supplies,05/14/2019,$277.32
AIRGAS USA LLC,Maintenance Supplies,05/14/2019,$7.91
AIRGAS USA LLC,Classroom Supplies,05/16/2019,$544.57
AIRGAS USA LLC,Classroom Supplies,05/16/2019,$38.48
AIRGAS USA LLC,Classroom Supplies,05/16/2019,$4.49
AIRGAS USA LLC,Classroom Supplies,05/21/2019,$321.21
AIRGAS USA LLC,Classroom Supplies,05/21/2019,$37.42
AIRGAS USA LLC,Classroom Supplies,05/21/2019,$74.92
AIRGAS USA LLC,Classroom Supplies,05/21/2019,$4.49
AIRGAS USA LLC,Rental/Lease-Other,05/21/2019,$4.60
AIRGAS USA LLC,Rental/Lease-Other,05/21/2019,$29.65
AIRGAS USA LLC,Rental/Lease-Other,05/21/2019,$30.51
AIRGAS USA LLC,Departmental Supplies,05/21/2019,$46.64
AIRGAS USA LLC,Departmental Supplies,05/23/2019,$48.60
AIRGAS USA LLC,Departmental Supplies,05/23/2019,$66.16
AIRGAS USA LLC,Rental/Lease-Furn. & Equip.,05/23/2019,$15.47
AIRGAS USA LLC,Rental/Lease-Furn. & Equip.,05/23/2019,$48.39
AIRGAS USA LLC,Classroom Supplies,05/30/2019,$96.93
AIRGAS USA LLC,Classroom Supplies,05/30/2019,"$1,396.77"
AIRGAS USA LLC,Classroom Supplies,05/30/2019,$335.01
AIRGAS USA LLC,Classroom Supplies,05/30/2019,$615.36
AIRGAS USA LLC,Classroom Supplies,05/30/2019,$792.10
ALEX OPLAND,Other Contracted Svces/Labor,05/30/2019,$250.00
ALLIANCE FOR INNOVATION AND TR,Prepaid Expenditures,05/21/2019,"$2,000.00"
ALLIANCE INVESTIGATIONS LLC,Other Contracted Svces/Labor,05/14/2019,"$1,239.50"
ALLIED BUILDING PRODUCTS,Maintenance Supplies,05/30/2019,"$2,976.92"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$1,463.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,$991.38
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$13,053.80"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$12,793.90"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$1,559.25"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$1,078.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$1,078.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$12,774.65"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/14/2019,"$1,694.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/16/2019,"$10,580.15"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/16/2019,$616.00
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/16/2019,"$2,002.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/23/2019,"$13,111.53"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/23/2019,$943.25
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/23/2019,"$1,694.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/30/2019,"$1,078.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/30/2019,"$1,694.00"
ALLIED UNIVERSAL SECURITY SERV,Other Contracted Svces/Labor,05/30/2019,"$13,419.53"
ALPS DALLAS,Repairs-Office Equipment,05/02/2019,$840.00
ALPS DALLAS,Repairs-Office Equipment,05/09/2019,$45.00
ALPS DALLAS,Other Contracted Svces/Labor,05/14/2019,$45.00
ALPS DALLAS,Repairs-Office Equipment,05/14/2019,$90.00
ALPS DALLAS,Repairs-Office Equipment,05/14/2019,$225.00
ALPS DALLAS,Repairs-Office Equipment,05/14/2019,$325.00
ALPS DALLAS,Repairs-Office Equipment,05/16/2019,$444.00
ALREADY GEAR INC,Departmental Supplies,05/14/2019,$118.52
ALREADY GEAR INC,Departmental Supplies,05/14/2019,$423.28
ALREADY GEAR INC,Departmental Supplies,05/14/2019,$362.15
ALREADY GEAR INC,Departmental Supplies,05/14/2019,$278.22
ALTEX ELECTRONICS LTD,Classroom Supplies,05/16/2019,$498.83
ALVAS LLC,Non-Inv Equipment,05/16/2019,$246.52
AMANDA L. MOSS,Other Contracted Svces/Labor,05/09/2019,"$1,287.50"
AMARILLO JUNIOR COLLEGE DISTRI,Seminar/Registration Fees,05/14/2019,$512.78
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$62.90
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$141.16
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$243.14
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$434.28
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$622.36
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$324.11
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$592.85
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$96.33
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$234.94
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$207.61
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$73.21
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$19.56
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$16.94
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$178.15
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$175.20
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$217.42
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$8.16
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$9.94
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$16.58
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$19.47
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$14.96
AMAZON.COM LLC,Books-Specialized Book Purchases,05/02/2019,$45.00
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$23.99
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$64.76
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$302.12
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$124.56
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$256.11
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$143.53
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$330.68
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$45.99
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$115.78
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$19.65
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$33.90
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$231.02
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$87.53
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$40.53
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$22.49
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$16.75
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$181.77
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$31.03
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$138.20
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$26.16
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$96.65
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$292.29
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$178.50
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$168.15
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$245.33
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$69.93
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$73.71
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$60.18
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$139.00
AMAZON.COM LLC,Books-Specialized Book Purchases,05/07/2019,$94.32
AMAZON.COM LLC,Cloud Based Services,05/07/2019,$1.19
AMAZON.COM LLC,Cloud Based Services,05/07/2019,$6.40
AMAZON.COM LLC,"Books, Booklets & Tapes",05/09/2019,$54.20
AMAZON.COM LLC,Classroom Supplies,05/14/2019,$253.07
AMAZON.COM LLC,Classroom Supplies,05/14/2019,$48.88
AMAZON.COM LLC,Non-Inv Equipment,05/16/2019,$229.95
AMAZON.COM LLC,Classroom Supplies,05/16/2019,$99.94
AMAZON.COM LLC,Classroom Supplies,05/16/2019,$113.63
AMAZON.COM LLC,Staff Development,05/21/2019,$35.58
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,($94.32)
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$22.98
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$25.40
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,($17.06)
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$20.92
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$28.75
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$18.31
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$9.95
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$169.62
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$15.02
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,$14.24
AMAZON.COM LLC,Books-Specialized Book Purchases,05/21/2019,($31.75)
AMAZON.COM LLC,Books-Specialized Book Purchases,05/23/2019,$15.79
AMAZON.COM LLC,Books-Specialized Book Purchases,05/23/2019,$41.60
AMAZON.COM LLC,Books-Specialized Book Purchases,05/30/2019,$21.82
"AMBIUS, LLC (21)",Other Contracted Svces/Labor,05/07/2019,$305.35
"AMBIUS, LLC (21)",Service Contracts,05/16/2019,$140.00
"AMBIUS, LLC (21)",Service Contracts,05/16/2019,$135.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$120.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$202.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$300.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$180.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$125.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$160.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$290.00
"AMBIUS, LLC (21)",Rental/Lease-Other,05/21/2019,$373.20
"AMBIUS, LLC (21)",Rental/Lease-Other,05/23/2019,$225.00
"AMBIUS, LLC (21)",Service Contracts,05/30/2019,$140.00
"AMBIUS, LLC (21)",Service Contracts,05/30/2019,$300.00
AMERCA CAN DBA WEE CAN ACADEMY,Other Contracted Svces/Labor,05/21/2019,$400.00
AMERICA TO GO LLC,Official Functions,05/02/2019,$278.90
AMERICA TO GO LLC,Official Functions,05/02/2019,$175.00
AMERICA TO GO LLC,Clearing,05/02/2019,$171.25
AMERICA TO GO LLC,Clearing,05/02/2019,"$7,862.50"
AMERICA TO GO LLC,Clearing,05/02/2019,$544.72
AMERICA TO GO LLC,Clearing,05/02/2019,$183.50
AMERICA TO GO LLC,Clearing,05/02/2019,$295.00
AMERICA TO GO LLC,Clearing,05/02/2019,$137.50
AMERICA TO GO LLC,Clearing,05/02/2019,$422.84
AMERICA TO GO LLC,Clearing,05/02/2019,$328.24
AMERICA TO GO LLC,Clearing,05/02/2019,$60.00
AMERICA TO GO LLC,Clearing,05/02/2019,$60.00
AMERICA TO GO LLC,Clearing,05/02/2019,$441.98
AMERICA TO GO LLC,Clearing,05/02/2019,$355.43
AMERICA TO GO LLC,Clearing,05/02/2019,$269.25
AMERICA TO GO LLC,Clearing,05/02/2019,$386.65
AMERICA TO GO LLC,Clearing,05/02/2019,$386.65
AMERICA TO GO LLC,Clearing,05/02/2019,$119.00
AMERICA TO GO LLC,Clearing,05/02/2019,"$4,228.20"
AMERICA TO GO LLC,Clearing,05/02/2019,$119.88
AMERICA TO GO LLC,Clearing,05/02/2019,$254.48
AMERICA TO GO LLC,Clearing,05/02/2019,"$1,170.00"
AMERICA TO GO LLC,Clearing,05/02/2019,$862.50
AMERICA TO GO LLC,Clearing,05/02/2019,$238.95
AMERICA TO GO LLC,Clearing,05/02/2019,$251.60
AMERICA TO GO LLC,Clearing,05/02/2019,"$1,598.15"
AMERICA TO GO LLC,Refreshments,05/07/2019,$582.50
AMERICA TO GO LLC,Refreshments,05/07/2019,$234.14
AMERICA TO GO LLC,Refreshments,05/07/2019,$592.54
AMERICA TO GO LLC,Refreshments,05/07/2019,$100.74
AMERICA TO GO LLC,Refreshments,05/07/2019,"$2,379.50"
AMERICA TO GO LLC,Refreshments,05/07/2019,$517.25
AMERICA TO GO LLC,Refreshments,05/07/2019,$533.00
AMERICA TO GO LLC,Refreshments,05/07/2019,$143.96
AMERICA TO GO LLC,Refreshments,05/07/2019,"$1,397.50"
AMERICA TO GO LLC,Refreshments,05/07/2019,$246.00
AMERICA TO GO LLC,Refreshments,05/07/2019,$750.40
AMERICA TO GO LLC,Refreshments,05/07/2019,$143.96
AMERICA TO GO LLC,Refreshments,05/07/2019,$992.45
AMERICA TO GO LLC,Refreshments,05/07/2019,"$2,009.00"
AMERICA TO GO LLC,Refreshments,05/07/2019,$324.75
AMERICA TO GO LLC,Refreshments,05/07/2019,$430.75
AMERICA TO GO LLC,Refreshments,05/07/2019,$170.67
AMERICA TO GO LLC,Refreshments,05/07/2019,$593.40
AMERICA TO GO LLC,Refreshments,05/07/2019,$498.75
AMERICA TO GO LLC,Refreshments,05/07/2019,"$2,479.97"
AMERICA TO GO LLC,Refreshments,05/07/2019,$562.30
AMERICA TO GO LLC,Refreshments,05/07/2019,"$1,151.63"
AMERICA TO GO LLC,Official Functions,05/09/2019,$322.05
AMERICA TO GO LLC,Refreshments,05/09/2019,"$1,470.00"
AMERICA TO GO LLC,Refreshments,05/09/2019,$697.25
AMERICA TO GO LLC,Refreshments,05/09/2019,$135.89
AMERICA TO GO LLC,Refreshments,05/09/2019,$170.86
AMERICA TO GO LLC,Refreshments,05/09/2019,$838.00
AMERICA TO GO LLC,Refreshments,05/09/2019,$182.86
AMERICA TO GO LLC,Refreshments,05/09/2019,$880.00
AMERICA TO GO LLC,Refreshments,05/09/2019,$106.82
AMERICA TO GO LLC,Refreshments,05/09/2019,"$2,412.50"
